Year,Winner,Record Name,Artist,Lyrics,Spotiify ID
2015,ROY,Uptown Funk,Mark Ronson featuring Bruno Mars,"Doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh duh (Aaaaaaow!)

This hit
That ice cold
Michelle Pfeiffer
That white gold
This one for them hood girls
Them good girls
Straight masterpieces
Stylin', wiling
Livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself I'm so pretty

I'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (hot damn)
Say my name you know who I am
I'm too hot (hot damn)
And my band 'bout that money
Break it down...

Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (Come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Stop
Wait a minute
Fill my cup put some liquor in it
Take a sip, sign the check
Julio, get the stretch!
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy

I'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (hot damn, hot damn)
Bitch, say my name you know who I am
I'm too hot (hot damn)
And my band 'bout that money
Break it down...

Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Before we leave
Let me tell y'all a little something
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up, uh
I said uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up

Come on, dance
Jump on it
If you sexy then flaunt it
If you freaky then own it
Don't brag about it, come show me
Come on, dance
Jump on it
If you sexy then flaunt it
Well it's Saturday night and we in the spot
Don't believe me just watch (come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up
Aaaaaaow!",32OlwWuMpZ6b0aN2RZOeMS
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
